groupId,artifactId
io.github.lukehutch,fast-classpath-scanner
com.herocraftonline.heroes,Heroes
org.easytesting,fest-swing-junit-4.5
org.noear,solon.serialization
org.apache.commons,commons-lang3
com.massivecraft,massivecore
org.webjars.bower,js-beautify
com.android,apksigner
com.zandero,utils
org.beanshell,bsh-core
fr.xephi,authme
com.itextpdf,forms
de.dfki.mary,voice-enst-camille-hsmm
org.testcontainers,mariadb
org.exbin.deltahex,deltahex-swing
org.htmlparser,htmlparser
net.sourceforge.findbugs,annotations
org.openpnp,opencv
org.hamcrest,hamcrest-junit
co.aikar,acf-paper
net.kyori,adventure-text-serializer-gson-legacy-impl
org.tuckey,urlrewritefilter
net.slipcor,pvparena
de.sciss,jump3r
com.github.tomakehurst,wiremock-jre8
org.apache.shiro,shiro-spring-boot-web-starter
aopalliance,aopalliance
ch.cyberduck,spectra
org.springframework.integration,spring-integration-core
org.scala-lang,scala-compiler
org.jboss.interceptor,jboss-interceptor-spi
io.springfox,springfox-swagger-ui
net.sf.jung,jung-algorithms
org.jenkins-ci.plugins,matrix-auth
com.github.stephenc.high-scale-lib,high-scale-lib
com.atlassian.jira,jira-rest-java-client-api
commons-pool,commons-pool
org.apache.jmeter,ApacheJMeter_core
joda-time,joda-time
jfugue,jfugue
org.fenixedu,bennu-io
org.noear,solon.boot.undertow.add.jsp
org.apache.santuario,xmlsec
com.miglayout,miglayout-swing
com.github.binarywang,weixin-java-cp
com.ibm.icu,icu4j
com.github.jagrosh,lavaplayer
com.github.xiaoymin,knife4j-spring-boot-starter
com.paulhammant,ngwebdriver
io.swagger,swagger-jaxrs
org.webjars,stomp-websocket
io.opencensus,opencensus-exporter-stats-stackdriver
org.netbeans.api,org-netbeans-modules-editor-settings
io.prometheus,simpleclient_dropwizard
net.javacrumbs.shedlock,shedlock-spring
org.webjars,bootstrap
org.eclipse.paho,org.eclipse.paho.mqttv5.client
com.google.testing.compile,compile-testing
org.jfxtras,openjfx-monocle
info.bliki.wiki,bliki-core
org.mockito,mockito-core
net.seninp,jmotif-gi
com.vaadin,vaadin-compatibility-client
com.fasterxml.jackson.core,jackson-annotations
org.fenixedu,fenixedu-commons
org.apache.cxf,cxf-rt-features-logging
org.apache.hive,hive-jdbc
com.massivecraft,MassiveCore
com.digitalpebble.stormcrawler,storm-crawler-warc
com.gmail.filoghost.holographicdisplays,holographicdisplays-api
criterium,criterium
com.auxilii,msgparser
de.odysseus.juel,juel-spi
plugily.projects,commons-box-database
org.janusgraph,janusgraph-core
org.objenesis,objenesis
org.mineacademy.plugin,NuVotifier
org.sonarsource.sonarqube,sonar-ws
org.apache.logging.log4j,log4j-slf4j-impl
rome,rome
io.jenkins.lib,support-log-formatter
io.undertow,undertow-websockets-jsr
com.aliyun,aliyun-java-sdk-sts
com.google.auto.service,auto-service
commons-collections,commons-collections
org.keycloak,keycloak-server-spi-private
com.beetstra.jutf7,jutf7
me.xuxiaoxiao,chatapi-wechat
org.apache.commons,commons-email
net.dongliu,commons
org.codehaus.janino,janino
org.apache.maven,maven-compat
xml-resolver,xml-resolver
org.apache.commons,commons-csv
de.keyle,mypet-plugin
org.rdfhdt,hdt-java-core
com.googlecode.openpojo,openpojo
org.pac4j,spark-pac4j
io.reactivex.rxjava3,rxjava
com.brsanthu,migbase64
com.pholser,junit-quickcheck-core
org.apache.xmlgraphics,batik-bridge
com.sk89q.worldguard,worldguard-bukkit
org.apache.cassandra,cassandra-all
postgresql,postgresql
io.reactivex.rxjava2,rxjava
org.semver,api
org.jvnet.hudson.plugins,analysis-core
net.sourceforge.mogwai,mogwai-looks
com.jayway.restassured,rest-assured
backport-util-concurrent,backport-util-concurrent
org.moduliths,moduliths-test
org.netbeans.api,org-openide-filesystems
com.songoda,skyblock
org.saintandreas,xres
