dependencies,count
"[com.google.code.gson:gson,com.google.guava:guava,com.googlecode.java-diff-utils:diffutils,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,com.h2database:h2,com.jcabi:jcabi-log,com.sun.mail:javax.mail,commons-fileupload:commons-fileupload,commons-lang:commons-lang,javax.mail:javax.mail-api,javax.servlet:javax.servlet-api,javax.servlet:jstl,javax.websocket:javax.websocket-api,javax:javaee-web-api,junit:junit,log4j:log4j,net.arnx:jsonic,org.apache.directory.api:api-all,org.apache.httpcomponents:httpclient,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-analyzers-kuromoji,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser,org.apache.tika:tika-parsers,org.apache.tomcat.embed:tomcat-embed-core,org.apache.tomcat.embed:tomcat-embed-jasper,org.apache.tomcat.embed:tomcat-embed-logging-juli,org.apache.tomcat.embed:tomcat-embed-websocket,org.apache.tomcat:tomcat-jasper,org.apache.tomcat:tomcat-jasper-el,org.apache.tomcat:tomcat-jsp-api,org.javassist:javassist,org.pegdown:pegdown,org.postgresql:postgresql,org.simpleframework:simple-xml,org.support-project:markedj]",1
"[com.clearspring.analytics:stream,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.google.guava:guava,com.sun.xml.bind:jaxb-impl,com.twitter:parquet-pig,com.typesafe.akka:akka-actor_2.10,commons-codec:commons-codec,commons-collections:commons-collections,commons-lang:commons-lang,de.bwaldvogel:liblinear,jline:jline,joda-time:joda-time,org.antlr:antlr-runtime,org.apache.commons:commons-compress,org.apache.commons:commons-jexl,org.apache.commons:commons-lang3,org.apache.pig:piggybank,org.easymock:easymock,org.encog:encog-core,org.jpmml:pmml-evaluator,org.jpmml:pmml-model,org.jpmml:pmml-schema,org.powermock:powermock-api-easymock,org.powermock:powermock-module-testng,org.reflections:reflections,org.testng:testng]",1
"[ch.qos.logback:logback-classic,cn.hutool:hutool-all,com.alibaba:fastjson,com.aliyun:aliyun-java-sdk-core,com.aliyun:aliyun-java-sdk-dysmsapi,com.apple:AppleJavaExtensions,com.baidubce:bce-java-sdk,com.formdev:flatlaf,com.github.binarywang:weixin-java-cp,com.github.binarywang:weixin-java-miniapp,com.github.binarywang:weixin-java-mp,com.github.qcloudsms:qcloudsms,com.intellij:forms_rt,com.opencsv:opencsv,com.qiniu:qiniu-java-sdk,com.squareup.okhttp3:okhttp,com.sun.mail:javax.mail,com.taobao:taobao-sdk-java-auto,com.vdurmont:emoji-java,com.yunpian.sdk:yunpian-java-sdk,junit:junit,mysql:mysql-connector-java,net.sourceforge.cpdetector:antlr,net.sourceforge.cpdetector:chardet,net.sourceforge.cpdetector:cpdetector,net.sourceforge.cpdetector:jargs,org.apache.httpcomponents:httpasyncclient,org.apache.poi:poi-ooxml,org.apache.velocity:velocity-engine-core,org.mybatis:mybatis,org.projectlombok:lombok,org.quartz-scheduler:quartz,org.xerial:sqlite-jdbc]",1
"[com.oracle:ojdbc6,org.apache.poi:poi-ooxml,org.codehaus.groovy:groovy,org.codehaus.groovy:groovy-ant,org.codehaus.groovy:groovy-bsf,org.codehaus.groovy:groovy-console,org.codehaus.groovy:groovy-docgenerator,org.codehaus.groovy:groovy-groovydoc,org.codehaus.groovy:groovy-groovysh,org.codehaus.groovy:groovy-jmx,org.codehaus.groovy:groovy-json,org.codehaus.groovy:groovy-jsr223,org.codehaus.groovy:groovy-nio,org.codehaus.groovy:groovy-servlet,org.codehaus.groovy:groovy-sql,org.codehaus.groovy:groovy-swing,org.codehaus.groovy:groovy-templates,org.codehaus.groovy:groovy-test,org.codehaus.groovy:groovy-testng,org.codehaus.groovy:groovy-xml]",1
"[ch.qos.logback:logback-classic,com.xebialabs.overthere:overthere]",1
"[com.alibaba:druid,com.github.kevinsawicki:http-request,com.google.guava:guava,commons-fileupload:commons-fileupload,javax.mail:mail,org.apache.commons:commons-lang3]",1
"[com.fasterxml.jackson.core:jackson-databind,com.github.tomakehurst:wiremock-jre8,com.google.code.gson:gson,commons-codec:commons-codec,org.apache.hadoop:hadoop-minikdc,org.apache.httpcomponents:httpclient,org.apache.logging.log4j:log4j-api,org.assertj:assertj-core,org.awaitility:awaitility,org.elasticsearch.client:elasticsearch-rest-high-level-client,org.elasticsearch:elasticsearch,org.hamcrest:hamcrest-all,org.mockito:mockito-inline,org.testcontainers:elasticsearch,org.yaml:snakeyaml]",1
"[com.ongres.scram:client,junit:junit,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,org.junit.jupiter:junit-jupiter-params,org.junit.vintage:junit-vintage-engine,se.jiderhamn:classloader-leak-test-framework,uk.org.webcompere:system-stubs-jupiter]",1
"[ch.qos.logback:logback-classic,ch.qos.logback:logback-core,com.google.guava:guava,javax.servlet:servlet-api,junit:junit,org.easymock:easymock,org.mockito:mockito-all,org.slf4j:slf4j-api,org.springframework.data:spring-data-redis,org.springframework:spring-aop,org.springframework:spring-aspects,org.springframework:spring-beans,org.springframework:spring-context,org.springframework:spring-context-support,org.springframework:spring-core,org.springframework:spring-web,org.springframework:spring-webmvc,redis.clients:jedis]",1
"[com.google.android:android,junit:junit,org.slf4j:slf4j-api]",1
